 number  2Theta(deg.)             d(Å)           Q(Å-1)   sin_Th/l (A-1)        1/d (A-1)        wave
  95         48.43575          1.87778          3.34607          0.26627          0.53254          1.54056
  96         48.54965          1.87364          3.35346          0.26686          0.53372          1.54056
  97         48.56385          1.87778          3.34606          0.26627          0.53254          1.54439
  98         48.67815          1.87364          3.35346          0.26686          0.53372          1.54439
  99         48.78915          1.86500          3.36900          0.26810          0.53619          1.54056
 100         48.91845          1.86500          3.36900          0.26810          0.53619          1.54439
 101         49.34085          1.84543          3.40472          0.27094          0.54188          1.54056
 102         49.47175          1.84543          3.40472          0.27094          0.54188          1.54439
 103         49.47815          1.84063          3.41360          0.27165          0.54329          1.54056
 104         49.48895          1.84026          3.41430          0.27170          0.54340          1.54056
 105         49.56945          1.83746          3.41950          0.27212          0.54423          1.54056
 106         49.60945          1.84063          3.41360          0.27165          0.54329          1.54439
 107         49.62035          1.84025          3.41430          0.27170          0.54340          1.54439
 108         49.70105          1.83746          3.41950          0.27212          0.54423          1.54439
 109         49.77845          1.83023          3.43300          0.27319          0.54638          1.54056
 110         49.91065          1.83023          3.43300          0.27319          0.54638          1.54439
 111         50.10485          1.81907          3.45407          0.27487          0.54973          1.54056
 112         50.22665          1.81494          3.46192          0.27549          0.55098          1.54056
 113         50.23805          1.81907          3.45407          0.27487          0.54973          1.54439
 114         50.36025          1.81494          3.46192          0.27549          0.55098          1.54439
 115         50.76915          1.79681          3.49685          0.27827          0.55654          1.54056
 116         50.83485          1.79465          3.50107          0.27861          0.55721          1.54056
 117         50.90445          1.79681          3.49685          0.27827          0.55654          1.54439
 118         50.97025          1.79465          3.50107          0.27861          0.55721          1.54439
 119         51.06025          1.78725          3.51556          0.27976          0.55952          1.54056
 120         51.19635          1.78725          3.51556          0.27976          0.55952          1.54439
 121         51.78165          1.76404          3.56182          0.28344          0.56688          1.54056
 122         51.81195          1.76308          3.56376          0.28360          0.56719          1.54056
 123         51.90485          1.76014          3.56971          0.28407          0.56814          1.54056
 124         51.91995          1.76404          3.56182          0.28344          0.56688          1.54439
 125         51.95035          1.76308          3.56376          0.28360          0.56719          1.54439
